,encoding,dataset,features,model,dim_reduction,n_train,n_test,accuracies,roc_auc,encoding_skrub,dim_reduction_skrub,n_train_skrub,n_test_skrub,accuracies_skrub,roc_auc_skrub,gain,gain_percent
34,lm__intfloat/multilingual-e5-base,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.858,0.9383873506635975,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0017235522721915641,-0.18333499450003563
35,lm__intfloat/multilingual-e5-large,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.86,0.9365669471661926,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0035439557695964297,-0.37697209536974036
36,lm__intfloat/multilingual-e5-small,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8642857142857142,0.9386359111272984,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0014749918084906444,-0.15689551135770505
37,lm__jinaai/jina-embedding-b-en-v1,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8545714285714286,0.9380781071032764,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0020327958325125906,-0.21622936465948353
38,lm__jinaai/jina-embedding-l-en-v1,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8645714285714285,0.9397402039338655,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.00037069900192354677,-0.03943141184363714
39,lm__jinaai/jina-embedding-s-en-v1,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8588571428571428,0.9393588696133185,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0007520333224705356,-0.07999410709120353
40,lm__llmrails/ember-v1,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.856,0.9363756994172305,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.003735203518558494,-0.39731520046136665
41,lm__msmarco-bert-co-condensor,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8617142857142858,0.939873684947332,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0002372179884569947,-0.02523297918535012
42,lm__nthakur/contriever-base-msmarco,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8617142857142858,0.9388135547900394,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.001297348145749666,-0.1379994787528038
43,lm__paraphrase-multilingual-MiniLM-L12-v2,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8591428571428572,0.9369106765987816,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.00320022633700745,-0.34040944818465
44,lm__paraphrase-multilingual-mpnet-base-v2,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8588571428571428,0.9375075936798254,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0026033092559636373,-0.27691512223015324
45,lm__sentence-t5-base,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8602857142857143,0.93866555931246,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0014453436233290429,-0.153741821184661
46,lm__sentence-t5-large,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8671428571428572,0.9406735578729639,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,0.000562654937174889,0.05984984701462601
47,lm__sentence-t5-xl,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.862,0.9381698140711145,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0019410888646744784,-0.2064744551534105
48,lm__sentence-t5-xxl,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8625714285714287,0.9400583190897639,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-5.2583846025133774e-05,-0.005593366257206926
49,lm__thenlper/gte-base,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8511428571428572,0.9358897844817241,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0042211184540649205,-0.44900218058137226
50,lm__thenlper/gte-large,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8614285714285714,0.9405853151431831,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,0.0004744122073940815,0.050463429996671846
51,lm__thenlper/gte-small,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8571428571428571,0.9384208649661689,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.001690037969620084,-0.17977006375975582
52,openai__,bikewale,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.8645714285714285,0.939622391468782,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,-0.0004885114670070134,-0.051963174289489066
53,skrub__minhash_30,bikewale,all,GradientBoostingClassifier,passthrough,1000.0,500.0,0.858,0.940110902935789,skrub__minhash_30,passthrough,1000.0,500.0,0.858,0.940110902935789,0.0,0.0
54,fasttext__30,clear_corpus,all,GradientBoostingClassifier,passthrough,1000.0,500.0,0.7697142857142857,0.8550312146481708,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.011379039420487014,1.3487832728477294
55,hf__EleutherAI/pythia-1.4b,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7737142857142858,0.8518228352749084,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.008170660047224665,0.9684868109324293
56,hf__EleutherAI/pythia-160m,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7657142857142858,0.8512605208789926,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.0076083456513088565,0.9018344140765744
57,hf__EleutherAI/pythia-1b,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7822857142857143,0.8598856339396852,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.016233458712001436,1.924188568306645
58,hf__EleutherAI/pythia-2.8b,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7771428571428572,0.8577879767246536,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.014135801496969802,1.6755485153765945
59,hf__EleutherAI/pythia-410m,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7742857142857142,0.8556682260447788,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.012016050817095003,1.4242896741008375
60,hf__EleutherAI/pythia-6.9b,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7762857142857144,0.8592866875247144,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.01563451229703061,1.8531940953997055
61,hf__EleutherAI/pythia-70m,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.772,0.8569977417265184,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.013345566498834671,1.5818801741645467
62,hf__bert-base-cased,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7688571428571428,0.8565737033227778,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.01292152809509406,1.531617943331541
63,hf__bert-large-cased,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7768571428571429,0.8535214141807216,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.009869238953037818,1.1698232094730652
64,hf__huggyllama/llama-7b,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7722857142857144,0.8571857381860047,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.013533562958320977,1.604163819605936
65,hf__meta-llama/Llama-2-7b-hf,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7802857142857142,0.8599643645716325,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.016312189343948735,1.9335206881374332
66,hf__microsoft/deberta-v3-base,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7722857142857144,0.8507045970597199,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.007052421832036138,0.8359395067206268
67,hf__microsoft/deberta-v3-large,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.772,0.8539321384535355,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.010279963225851785,1.2185072862613602
68,hf__mistralai/Mistral-7B-v0.1,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7725714285714286,0.8571465851202232,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.013494409892539472,1.599522918185758
69,hf__roberta-base,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.774,0.853392009824571,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.009739834596887209,1.1544846185287954
70,hf__roberta-large,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7754285714285715,0.8546483037117747,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.010996128484090928,1.3033959737166927
71,lm__BAAI/bge-large-en-v1.5,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7831428571428571,0.8626913927537325,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.019039217526048757,2.2567615049306875
72,lm__BAAI/bge-small-en-v1.5,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.776,0.8527972050318992,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.009145029804215388,1.0839810614780123
73,lm__TaylorAI/bge-micro,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7777142857142857,0.858343389151342,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.014691213923658242,1.7413828062131642
74,lm__TaylorAI/bge-micro-v2,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7777142857142857,0.8567547452259113,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.013102569998227565,1.5530772494827574
75,lm__TaylorAI/gte-tiny,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7751428571428571,0.8620637048224452,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.018411529594761444,2.1823602351043028
76,lm__all-MiniLM-L12-v2,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.768,0.8573266778787303,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.013674502651046527,1.620869720078191
77,lm__all-MiniLM-L6-v2,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7725714285714286,0.8568492762534797,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.013197101025795965,1.5642822259344438
78,lm__all-distilroberta-v1,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7742857142857142,0.8575493852092969,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.013897209981613146,1.6472677235571145
79,lm__gtr-t5-base,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7722857142857144,0.8549877934596957,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.011335618232011901,1.343636461193579
80,lm__gtr-t5-xl,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7777142857142857,0.8607032193895643,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.017051044161880524,2.021098820408874
81,lm__gtr-t5-xxl,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7794285714285715,0.8599359469373627,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.016283771709678985,1.9301522816893515
82,lm__intfloat/e5-base,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7731428571428571,0.860961949232217,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.017309774004533263,2.051766653699639
83,lm__intfloat/e5-base-v2,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7768571428571429,0.8573452948962609,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.013693119668577114,1.623076437262979
84,lm__intfloat/e5-large,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7817142857142858,0.8589925710793604,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.01534039585167668,1.8183318080744157
85,lm__intfloat/e5-large-v2,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7768571428571429,0.8612185209270066,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.017566345699322805,2.0821786768441655
86,lm__intfloat/e5-small,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7802857142857142,0.8606326147715204,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.016980439543836656,2.0127298953806405
87,lm__intfloat/e5-small-v2,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7714285714285715,0.8578283455928063,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.014176170365122531,1.680333528601012
88,lm__intfloat/multilingual-e5-base,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7682857142857143,0.8519974620764518,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.008345286848768008,0.9891857205863059
89,lm__intfloat/multilingual-e5-large,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7734285714285714,0.8543767336673126,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.010724558439628828,1.2712061622711395
90,lm__intfloat/multilingual-e5-small,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7757142857142857,0.8583667277848624,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.014714552557178684,1.7441491872177701
91,lm__jinaai/jina-embedding-b-en-v1,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7662857142857142,0.8541057724631894,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.010453597235505652,1.2390885180476716
92,lm__jinaai/jina-embedding-l-en-v1,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7725714285714286,0.8575042402760459,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.013852065048362117,1.641916592536935
93,lm__jinaai/jina-embedding-s-en-v1,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7728571428571429,0.8543452182900005,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.010693043062316776,1.2674705733356229
94,lm__llmrails/ember-v1,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.78,0.8631942443629148,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.019542069135231044,2.3163656432174853
95,lm__msmarco-bert-co-condensor,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7711428571428571,0.8577239128905566,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.01407173766287284,1.6679548842596392
96,lm__nthakur/contriever-base-msmarco,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7748571428571429,0.857762208389922,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.014110033162238245,1.6724941363933836
97,lm__paraphrase-multilingual-MiniLM-L12-v2,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7705714285714286,0.8533006973664421,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.009648522138758331,1.14366114639062
98,lm__paraphrase-multilingual-mpnet-base-v2,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7774285714285715,0.8581518423721054,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.014499667144421635,1.718678333343772
99,lm__sentence-t5-base,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7700000000000001,0.8570181725859582,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.013365997358274484,1.5843018901323032
100,lm__sentence-t5-large,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7782857142857144,0.8574216452674505,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.013769470039766696,1.6321264194038982
101,lm__sentence-t5-xl,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7754285714285715,0.856933787766277,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.01328161253859328,1.5742995666441393
102,lm__sentence-t5-xxl,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7697142857142857,0.8551676304944765,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.011515455266792762,1.3649529515745025
103,lm__thenlper/gte-base,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7754285714285715,0.8600226099424573,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.016370434714773507,1.9404246436459998
104,lm__thenlper/gte-large,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7817142857142858,0.859380139792739,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.015727964565055208,1.8642712040433684
105,lm__thenlper/gte-small,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.776,0.8601742092576802,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.016522034029996413,1.9583940532764545
106,openai__,clear_corpus,all,GradientBoostingClassifier,PCA_30,1000.0,500.0,0.7802857142857142,0.859600713041042,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.015948537813358254,1.890416249925994
107,skrub__minhash_30,clear_corpus,all,GradientBoostingClassifier,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,skrub__minhash_30,passthrough,1000.0,500.0,0.7594285714285715,0.8436521752276838,0.0,0.0
