dataset,target,recall,precision,f1
Race,0.9,0.3142857142857143,0.8088235294117647,0.45267489711934156
RailwayLine,0.9,0.47651006711409394,0.8875,0.6200873362445415
Reptile,0.9,0.9590747330960854,0.910472972972973,0.9341421143847488
RugbyLeague,0.9,0.43103448275862066,0.8064516129032258,0.5617977528089887
ShoppingMall,0.9,0.8238993710691824,0.8451612903225807,0.8343949044585988
SoccerClubSeason,0.9,0.5882352941176471,0.8823529411764706,0.7058823529411764
SoccerLeague,0.9,0.36554621848739494,0.7310924369747899,0.48739495798319327
SoccerTournament,0.9,0.7413793103448276,0.9227467811158798,0.8221797323135756
Song,0.9,0.8886363636363637,0.9376498800959233,0.9124854142357061
SportFacility,0.9,0.39285714285714285,0.8571428571428571,0.5387755102040817
SportsLeague,0.9,0.3492723492723493,0.8,0.48625180897250364
Stadium,0.9,0.3780290791599354,0.841726618705036,0.5217391304347826
TelevisionStation,0.9,0.18229166666666666,0.7984790874524715,0.2968197879858657
TennisTournament,0.9,0.5925925925925926,1.0,0.7441860465116279
Tournament,0.9,0.5773420479302832,0.8833333333333333,0.6982872200263505
UnitOfWork,0.9,0.9526315789473684,0.9027431421446384,0.9270166453265044
Venue,0.9,0.5598958333333334,0.9227467811158798,0.6969205834683955
Wrestler,0.9,0.25,0.9206349206349206,0.39322033898305087
Amphibian,0.8,0.5185185185185185,0.9204892966360856,0.6633608815426997
ArtificialSatellite,0.8,0.2361111111111111,0.9444444444444444,0.37777777777777777
Artwork,0.8,0.8816326530612245,0.8503937007874016,0.8657314629258517
Award,0.8,0.4270833333333333,0.8367346938775511,0.5655172413793104
BasketballTeam,0.8,0.6445783132530121,0.7697841726618705,0.701639344262295
Case,0.8,0.9605263157894737,0.8946078431372549,0.9263959390862944
ChristianBishop,0.8,0.8076923076923077,0.9006772009029346,0.8516542155816436
ClericalAdministrativeRegion,0.8,0.8473684210526315,0.875,0.8609625668449198
Country,0.8,0.5807560137457045,0.8802083333333334,0.6997929606625258
Device,0.8,0.6413373860182371,0.9055793991416309,0.7508896797153025
Drug,0.8,0.39490445859872614,0.9393939393939394,0.5560538116591929
Election,0.8,0.7028885832187071,0.8902439024390244,0.7855495772482705
Enzyme,0.8,0.6458333333333334,0.9393939393939394,0.7654320987654321
EthnicGroup,0.8,0.781183932346723,0.9168734491315137,0.8436073059360731
FootballLeagueSeason,0.8,0.5428571428571428,0.7794871794871795,0.6399999999999999
FootballMatch,0.8,0.6981132075471698,0.8604651162790697,0.7708333333333334
Galaxy,0.8,0.29411764705882354,0.7142857142857143,0.4166666666666667
GivenName,0.8,0.922077922077922,0.9861111111111112,0.953020134228188
GovernmentAgency,0.8,0.6339754816112084,0.8080357142857143,0.7105004906771345
HistoricBuilding,0.8,0.798828125,0.8949671772428884,0.8441692466460269
Hospital,0.8,0.5836575875486382,0.8670520231213873,0.6976744186046512
Legislature,0.8,0.8009259259259259,0.9453551912568307,0.8671679197994988
Magazine,0.8,0.8029197080291971,0.9282700421940928,0.8610567514677104
MemberOfParliament,0.8,0.7236580516898609,0.875,0.792165397170838
Monarch,0.8,0.6983471074380165,0.8284313725490197,0.757847533632287
MotorsportSeason,0.8,0.8994845360824743,0.9561643835616438,0.9269588313413014
Museum,0.8,0.5967213114754099,0.914572864321608,0.7222222222222222
NCAATeamSeason,0.8,0.4117647058823529,1.0,0.5833333333333334
NationalFootballLeagueSeason,0.8,0.6,1.0,0.7499999999999999
NaturalEvent,0.8,0.6078431372549019,0.9393939393939394,0.738095238095238
Noble,0.8,0.6016483516483516,0.8455598455598455,0.7030497592295344
PoliticalParty,0.8,0.397979797979798,0.9078341013824884,0.5533707865168539
Race,0.8,0.34285714285714286,0.8,0.48000000000000004
RailwayLine,0.8,0.5503355704697986,0.8586387434554974,0.6707566462167688
Reptile,0.8,0.9644128113879004,0.8390092879256966,0.8973509933774835
RugbyLeague,0.8,0.4482758620689655,0.7878787878787878,0.5714285714285714
ShoppingMall,0.8,0.8553459119496856,0.8292682926829268,0.8421052631578947
SoccerClubSeason,0.8,0.6862745098039216,0.8974358974358975,0.7777777777777778
SoccerLeague,0.8,0.4117647058823529,0.725925925925926,0.5254691689008043
SoccerTournament,0.8,0.8206896551724138,0.8981132075471698,0.8576576576576577
Song,0.8,0.9113636363636364,0.9391100702576113,0.9250288350634371
SportFacility,0.8,0.44345238095238093,0.8514285714285714,0.5831702544031311
SportsLeague,0.8,0.42411642411642414,0.7816091954022989,0.549865229110512
Stadium,0.8,0.42164781906300486,0.8338658146964856,0.5600858369098712
TelevisionStation,0.8,0.2864583333333333,0.8312342569269522,0.42608134280180765
TennisTournament,0.8,0.5925925925925926,1.0,0.7441860465116279
Tournament,0.8,0.6318082788671024,0.8454810495626822,0.7231920199501248
UnitOfWork,0.8,0.9605263157894737,0.8946078431372549,0.9263959390862944
Venue,0.8,0.5911458333333334,0.9043824701195219,0.7149606299212599
Wrestler,0.8,0.25646551724137934,0.8880597014925373,0.39799331103678937
Amphibian,0.7,0.5219638242894057,0.8731988472622478,0.6533692722371969
ArtificialSatellite,0.7,0.25,0.9473684210526315,0.39560439560439564
Artwork,0.7,0.8857142857142857,0.8543307086614174,0.8697394789579158
Award,0.7,0.4583333333333333,0.8262910798122066,0.5896147403685092
BasketballTeam,0.7,0.7168674698795181,0.7777777777777778,0.7460815047021945
Case,0.7,0.9631578947368421,0.9014778325123153,0.9312977099236641
ChristianBishop,0.7,0.8279352226720648,0.8949671772428884,0.8601472134595164
ClericalAdministrativeRegion,0.7,0.8789473684210526,0.8608247422680413,0.8697916666666667
Country,0.7,0.6185567010309279,0.8530805687203792,0.7171314741035857
Device,0.7,0.7051671732522796,0.9044834307992202,0.7924850555081128
Drug,0.7,0.445859872611465,0.9333333333333333,0.603448275862069
Election,0.7,0.7221458046767538,0.875,0.7912584777694046
Enzyme,0.7,0.6666666666666666,0.9411764705882353,0.7804878048780487
EthnicGroup,0.7,0.7991543340380549,0.9086538461538461,0.8503937007874015
FootballLeagueSeason,0.7,0.6214285714285714,0.8055555555555556,0.7016129032258064
FootballMatch,0.7,0.7547169811320755,0.8695652173913043,0.8080808080808081
Galaxy,0.7,0.35294117647058826,0.75,0.48
GivenName,0.7,0.948051948051948,0.9798657718120806,0.9636963696369636
GovernmentAgency,0.7,0.649737302977233,0.796137339055794,0.7155255544840886
HistoricBuilding,0.7,0.822265625,0.8938428874734607,0.8565615462868769
Hospital,0.7,0.6147859922178989,0.8586956521739131,0.7165532879818594
Legislature,0.7,0.8240740740740741,0.9081632653061225,0.8640776699029127
Magazine,0.7,0.8138686131386861,0.9214876033057852,0.8643410852713179
MemberOfParliament,0.7,0.8091451292246521,0.8790496760259179,0.8426501035196687
Monarch,0.7,0.756198347107438,0.8243243243243243,0.7887931034482759
MotorsportSeason,0.7,0.8994845360824743,0.9509536784741145,0.9245033112582782
Museum,0.7,0.6491803278688525,0.8839285714285714,0.7485822306238185
NCAATeamSeason,0.7,0.4117647058823529,1.0,0.5833333333333334
NationalFootballLeagueSeason,0.7,0.7,1.0,0.8235294117647058
NaturalEvent,0.7,0.6274509803921569,0.9411764705882353,0.7529411764705882
Noble,0.7,0.6510989010989011,0.8315789473684211,0.7303543913713405
PoliticalParty,0.7,0.4868686868686869,0.8763636363636363,0.6259740259740261
Race,0.7,0.3657142857142857,0.7272727272727273,0.4866920152091255
RailwayLine,0.7,0.6375838926174496,0.8444444444444444,0.7265774378585086
Reptile,0.7,0.9679715302491103,0.8192771084337349,0.8874388254486134
RugbyLeague,0.7,0.5,0.7435897435897436,0.5979381443298969
ShoppingMall,0.7,0.8930817610062893,0.7932960893854749,0.8402366863905325
SoccerClubSeason,0.7,0.8235294117647058,0.9130434782608695,0.865979381443299
SoccerLeague,0.7,0.42436974789915966,0.7266187050359713,0.5358090185676393
SoccerTournament,0.7,0.8517241379310345,0.894927536231884,0.872791519434629
Song,0.7,0.925,0.9399538106235565,0.9324169530355098
SportFacility,0.7,0.4583333333333333,0.850828729281768,0.5957446808510639
SportsLeague,0.7,0.4594594594594595,0.775438596491228,0.577023498694517
Stadium,0.7,0.4458804523424879,0.8389057750759878,0.5822784810126582
TelevisionStation,0.7,0.3993055555555556,0.8288288288288288,0.5389572349150556
TennisTournament,0.7,0.7407407407407407,1.0,0.851063829787234
Tournament,0.7,0.6666666666666666,0.8292682926829268,0.7391304347826086
UnitOfWork,0.7,0.9631578947368421,0.9014778325123153,0.9312977099236641
Venue,0.7,0.609375,0.8931297709923665,0.7244582043343654
Wrestler,0.7,0.2607758620689655,0.8832116788321168,0.4026622296173045
Amphibian,0.6,0.5254091300602929,0.8379120879120879,0.6458443620963473
ArtificialSatellite,0.6,0.4722222222222222,0.9444444444444444,0.6296296296296297
Artwork,0.6,0.889795918367347,0.8549019607843137,0.872
Award,0.6,0.5,0.8135593220338984,0.6193548387096774
BasketballTeam,0.6,0.7590361445783133,0.7730061349693251,0.7659574468085106
Case,0.6,0.9631578947368421,0.9014778325123153,0.9312977099236641
ChristianBishop,0.6,0.8421052631578947,0.8907922912205567,0.86576482830385
ClericalAdministrativeRegion,0.6,0.8842105263157894,0.865979381443299,0.8749999999999999
Country,0.6,0.6701030927835051,0.8478260869565217,0.7485604606525911
Device,0.6,0.743161094224924,0.9022140221402214,0.815
Drug,0.6,0.4840764331210191,0.95,0.6413502109704641
Election,0.6,0.7331499312242091,0.8709150326797386,0.796116504854369
Enzyme,0.6,0.6666666666666666,0.9411764705882353,0.7804878048780487
EthnicGroup,0.6,0.8202959830866807,0.8971098265895954,0.856985091109884
FootballLeagueSeason,0.6,0.7035714285714286,0.8242677824267782,0.7591522157996147
FootballMatch,0.6,0.8113207547169812,0.86,0.8349514563106797
Galaxy,0.6,0.35294117647058826,0.75,0.48
GivenName,0.6,0.948051948051948,0.9798657718120806,0.9636963696369636
GovernmentAgency,0.6,0.670753064798599,0.7768762677484787,0.7199248120300753
HistoricBuilding,0.6,0.8359375,0.8898128898128899,0.8620342396777442
Hospital,0.6,0.642023346303502,0.8549222797927462,0.7333333333333334
Legislature,0.6,0.8287037037037037,0.9086294416243654,0.8668280871670702
Magazine,0.6,0.8248175182481752,0.9149797570850202,0.8675623800383877
MemberOfParliament,0.6,0.8469184890656064,0.8640973630831643,0.8554216867469878
Monarch,0.6,0.7892561983471075,0.8127659574468085,0.8008385744234802
MotorsportSeason,0.6,0.8994845360824743,0.9509536784741145,0.9245033112582782
Museum,0.6,0.6655737704918033,0.8903508771929824,0.7617260787992495
NCAATeamSeason,0.6,0.6470588235294118,1.0,0.7857142857142858
NationalFootballLeagueSeason,0.6,0.8,1.0,0.888888888888889
NaturalEvent,0.6,0.6274509803921569,0.9411764705882353,0.7529411764705882
Noble,0.6,0.6813186813186813,0.8239202657807309,0.7458646616541355
PoliticalParty,0.6,0.5333333333333333,0.868421052631579,0.6608260325406757
Race,0.6,0.38285714285714284,0.7282608695652174,0.5018726591760299
RailwayLine,0.6,0.674496644295302,0.8375,0.7472118959107806
Reptile,0.6,0.9679715302491103,0.8095238095238095,0.8816855753646677
RugbyLeague,0.6,0.5344827586206896,0.7560975609756098,0.6262626262626262
ShoppingMall,0.6,0.9433962264150944,0.7978723404255319,0.8645533141210374
SoccerClubSeason,0.6,0.9803921568627451,0.9259259259259259,0.9523809523809523
SoccerLeague,0.6,0.46638655462184875,0.7207792207792207,0.5663265306122449
SoccerTournament,0.6,0.8758620689655172,0.8943661971830986,0.8850174216027874
Song,0.6,0.925,0.9399538106235565,0.9324169530355098
SportFacility,0.6,0.4806547619047619,0.8411458333333334,0.6117424242424243
SportsLeague,0.6,0.4698544698544699,0.7661016949152543,0.5824742268041238
Stadium,0.6,0.4620355411954766,0.8242074927953891,0.5921325051759834
TelevisionStation,0.6,0.4340277777777778,0.8169934640522876,0.5668934240362811
TennisTournament,0.6,0.8148148148148148,1.0,0.8979591836734693
Tournament,0.6,0.6884531590413944,0.8102564102564103,0.7444051825677267
UnitOfWork,0.6,0.9631578947368421,0.9014778325123153,0.9312977099236641
Venue,0.6,0.6197916666666666,0.8623188405797102,0.7212121212121211
Wrestler,0.6,0.27155172413793105,0.8513513513513513,0.411764705882353
Amphibian,0.5,0.5314384151593454,0.7683686176836861,0.6283095723014257
ArtificialSatellite,0.5,0.5277777777777778,0.8444444444444444,0.6495726495726496
Artwork,0.5,0.8857142857142857,0.8543307086614174,0.8697394789579158
Award,0.5,0.4947916666666667,0.8016877637130801,0.6119162640901772
BasketballTeam,0.5,0.7771084337349398,0.7724550898203593,0.7747747747747747
Case,0.5,0.9631578947368421,0.9014778325123153,0.9312977099236641
ChristianBishop,0.5,0.8441295546558705,0.8872340425531915,0.8651452282157677
ClericalAdministrativeRegion,0.5,0.8842105263157894,0.865979381443299,0.8749999999999999
Country,0.5,0.6735395189003437,0.8412017167381974,0.7480916030534353
Device,0.5,0.7583586626139818,0.8942652329749103,0.8207236842105263
Drug,0.5,0.4840764331210191,0.95,0.6413502109704641
Election,0.5,0.7702888583218707,0.835820895522388,0.8017179670722978
Enzyme,0.5,0.6666666666666666,0.9411764705882353,0.7804878048780487
EthnicGroup,0.5,0.821353065539112,0.8910550458715596,0.8547854785478548
FootballLeagueSeason,0.5,0.7607142857142857,0.8192307692307692,0.7888888888888889
FootballMatch,0.5,0.8301886792452831,0.8461538461538461,0.8380952380952382
Galaxy,0.5,0.4117647058823529,0.7777777777777778,0.5384615384615384
GivenName,0.5,0.948051948051948,0.9798657718120806,0.9636963696369636
GovernmentAgency,0.5,0.6847635726795096,0.7651663405088063,0.722735674676525
HistoricBuilding,0.5,0.8359375,0.8879668049792531,0.8611670020120724
Hospital,0.5,0.6536964980544747,0.8571428571428571,0.7417218543046358
Legislature,0.5,0.8101851851851852,0.9114583333333334,0.8578431372549019
Magazine,0.5,0.8357664233576643,0.9271255060728745,0.8790786948176583
MemberOfParliament,0.5,0.8727634194831014,0.871031746031746,0.871896722939424
Monarch,0.5,0.7851239669421488,0.8189655172413793,0.8016877637130801
MotorsportSeason,0.5,0.8994845360824743,0.9509536784741145,0.9245033112582782
Museum,0.5,0.6819672131147541,0.8776371308016878,0.7675276752767528
NCAATeamSeason,0.5,0.7647058823529411,1.0,0.8666666666666666
NationalFootballLeagueSeason,0.5,0.9,1.0,0.9473684210526316
NaturalEvent,0.5,0.6666666666666666,0.9444444444444444,0.7816091954022987
Noble,0.5,0.7225274725274725,0.8244514106583072,0.7701317715959004
PoliticalParty,0.5,0.5515151515151515,0.8557993730407524,0.6707616707616707
Race,0.5,0.4057142857142857,0.696078431372549,0.5126353790613718
RailwayLine,0.5,0.7013422818791947,0.8132295719844358,0.7531531531531531
Reptile,0.5,0.9679715302491103,0.8095238095238095,0.8816855753646677
RugbyLeague,0.5,0.603448275862069,0.7608695652173914,0.673076923076923
ShoppingMall,0.5,0.949685534591195,0.7626262626262627,0.8459383753501402
SoccerClubSeason,0.5,0.9803921568627451,0.9259259259259259,0.9523809523809523
SoccerLeague,0.5,0.4789915966386555,0.7037037037037037,0.57
SoccerTournament,0.5,0.8655172413793103,0.8900709219858156,0.8776223776223777
Song,0.5,0.9227272727272727,0.9376443418013857,0.9301260022909508
SportFacility,0.5,0.48660714285714285,0.8236775818639799,0.6117867165575304
SportsLeague,0.5,0.49064449064449067,0.7492063492063492,0.592964824120603
Stadium,0.5,0.47495961227786754,0.8121546961325967,0.5993883792048931
TelevisionStation,0.5,0.4592013888888889,0.8064024390243902,0.5851769911504425
TennisTournament,0.5,0.7777777777777778,1.0,0.8750000000000001
Tournament,0.5,0.7276688453159041,0.8146341463414634,0.7686996547756041
UnitOfWork,0.5,0.9631578947368421,0.9014778325123153,0.9312977099236641
Venue,0.5,0.6302083333333334,0.8642857142857143,0.7289156626506024
Wrestler,0.5,0.2823275862068966,0.8343949044585988,0.42190016103059585
